62247 2
18950 11.386483 6.408963
21084 11.522326 6.550645
26398 11.347334 6.309244
30764 11.412769 6.507864
24639 12.680047 6.931007
28359 11.268152 6.523353
37567 11.356064 6.336866
59 -10.465041 3.776882
56634 -10.577622 3.826229
41387 -11.079551 2.982476
52372 -10.540504 3.819851
11999 -10.974049 2.707678
32891 -12.941395 3.178516
11464 -10.289349 3.191297
60 -3.921630 10.926196
13530 -1.145317 8.493394
45919 -3.737063 10.983727
6424 -4.465189 11.581160
31907 -4.068436 10.270000
61 -5.537809 1.412586
39721 -6.017441 1.063812
14610 -5.526605 1.423777
19102 -5.495772 1.700641
16711 8.741509 -2.699371
15829 -5.876632 -7.291701
24452 -5.289059 1.754286
62 6.132036 -1.005115
54926 4.660093 -0.683404
56740 5.812567 -0.924844
59242 4.989286 -1.476498
60084 5.764957 -0.960271
10399 1.700036 -3.407750
29466 7.027086 -1.216609
41023 5.972695 -1.037211
38549 2.677646 -6.839872
1020 -8.583049 -0.305352
29246 -7.771214 -0.237795
32293 -8.018949 -1.250104
63 1.401479 1.627031
14435 -14.858688 -2.175980
60128 2.679150 0.066736
25771 0.958472 2.126626
64 -16.160528 2.288713
11777 -15.957463 2.377152
37012 -16.197659 2.165198
65 -3.667501 5.388713
13086 -3.635306 5.591361
14207 -3.711650 5.533181
15745 -3.709080 5.273050
4716 -3.381095 5.155276
53658 -3.753855 5.685139
19755 -3.733665 5.573183
20528 -3.531414 5.236719
21247 -0.544834 0.394029
25837 -3.828582 5.541831
6438 -3.666047 5.463120
67 17.412878 8.723636
49982 17.064093 8.854716
50512 15.834735 5.646312
38387 17.824018 9.474858
56844 17.695942 8.497251
61914 17.415541 8.608077
30217 19.844196 7.374707
10256 17.825531 7.283000
11318 16.654594 7.912873
20045 17.213526 9.634401
28785 17.107779 9.188988
30674 16.829361 8.210508
33750 18.695377 9.475870
46329 18.915144 11.649393
68 -15.163702 -2.757546
61939 -14.950231 -2.669267
69 -5.465496 11.239736
2492 -5.598352 11.005097
12551 -5.252032 11.464930
70 -1.717836 10.788155
12686 -1.696875 10.727567
56353 -1.886652 10.576433
16475 -1.711137 10.636173
17257 -1.715925 10.769830
19981 -1.765309 10.463024
16579 -1.757163 10.774505
20788 -1.784467 10.750152
22927 -1.874301 10.878437
23137 0.433578 0.980030
23293 -1.754909 10.774377
33181 -1.715263 10.691717
74 -17.338196 -1.144546
38847 -17.257162 -1.497089
75 5.672390 4.082191
57338 1.988800 -2.868598
23358 5.494170 4.257379
28455 5.745200 4.178343
77 12.465506 -3.249907
34763 14.943987 2.176869
31389 14.618896 -0.478073
37488 12.269258 -3.150257
78 -16.587072 -10.696181
5008 -16.350506 -10.699801
36693 -8.296852 -11.843878
79 16.946123 -0.634260
50832 16.557379 -0.839896
51362 14.866021 2.029776
59594 16.591421 -0.585951
61945 21.278870 -0.652480
14064 17.288538 -0.429979
14670 20.680361 -1.093070
18398 21.838236 -0.995639
21576 15.697701 0.776261
23091 17.529110 -0.436318
27925 16.629421 -0.793403
30472 21.319609 -0.965884
35600 16.703119 -0.807844
82 14.595827 6.768457
39674 14.354802 6.797482
49913 14.930874 6.705757
11751 14.623756 6.499135
34814 13.764997 6.354442
84 -19.653139 -2.418840
61515 -19.897194 -2.385669
62131 -19.932955 -2.384685
36523 -19.892988 -2.329922
86 23.068602 8.829144
54924 21.144573 1.831656
3232 23.144285 8.793245
10664 22.830269 8.744368
15117 23.028563 8.764546
31442 23.102724 8.737622
87 4.486410 3.314822
55157 0.407396 -1.993901
33232 4.246908 3.075612
88 -7.203178 -13.874906
27638 -7.326543 -13.893488
90 -15.723737 1.459396
50769 -15.503942 1.035862
5905 -15.136433 1.240558
6982 -15.591325 0.943445
91 14.705351 -9.821017
12416 14.681881 -9.847419
18947 14.642050 -9.839752
33700 14.568186 -9.846930
92 -1.628362 7.041760
54137 -1.318928 6.445786
30000 -0.785669 7.671163
25750 -1.053991 7.795287
26076 -2.031388 7.291709
93 18.585110 6.545670
14070 18.421396 6.583184
94 2.229521 1.872983
60353 8.295841 6.383016
4428 2.074804 1.220984
25024 2.283630 1.633484
35265 8.369122 6.614431
95 -5.357159 7.799076
27221 1.990952 -1.184452
96 4.004212 -3.486262
40710 -0.093519 -6.016101
13895 4.121121 -3.264778
17133 4.165513 -3.280077
17585 4.115622 -3.303700
26265 4.134870 -3.283645
34213 -0.212582 -7.041068
98 -1.904792 1.271576
43983 -2.553327 -2.535599
33263 -1.726734 1.599036
101 -7.940478 8.748405
62015 -7.947162 8.826608
103 -11.397646 1.213577
55415 -11.295808 0.952885
56765 -20.193493 0.070943
58950 -20.215191 0.357866
15789 -7.939828 -3.643817
60585 -9.961218 -0.036453
3140 -10.824803 0.713100
7907 -20.880388 0.716513
42915 -20.728386 0.522312
12304 -11.229140 0.856743
16902 -16.324007 0.552887
30581 -14.951669 -1.424006
17600 -20.634645 -0.163988
18046 -11.441684 1.120447
18654 -18.050470 1.551306
21718 -19.847668 0.779973
26142 -19.722338 0.806264
46508 6.413459 0.227275
41741 -15.160769 -8.163509
32761 -11.567824 0.745200
33397 -12.090443 0.331981
36992 -18.921665 1.099954
37537 -10.984660 -10.699028
104 -12.269180 0.345215
52079 -12.022371 0.082784
54063 -12.219743 0.215998
15259 -12.198742 0.278970
1558 -12.231348 0.072776
16685 -16.620813 -2.642621
1687 -15.385447 -7.018950
34545 -15.225175 -2.400128
2588 -16.430264 -2.546520
7641 -16.255625 -2.890304
15640 -15.382867 -8.172109
15924 -11.988770 0.203249
16818 -15.391109 -8.250449
17393 -12.072175 -8.895134
10969 -12.159858 0.167088
517 -14.869665 0.377358
36229 -16.236498 -0.953045
4493 -13.773147 -2.858301
35974 -15.682814 -0.668227
31252 -17.282866 -1.857087
37499 -12.052273 0.348411
105 22.263365 8.156333
6228 16.557638 0.631180
50672 23.523935 5.073143
52512 22.499891 5.724038
54409 22.372849 8.211930
13846 22.555317 8.437729
60563 22.434406 8.328807
16432 21.212860 4.615622
62164 22.290060 8.194629
13607 22.419691 8.270697
15521 22.730906 8.415936
20709 8.661547 3.533114
8922 22.660873 8.479074
106 -1.785266 -6.450544
8067 -4.605408 5.462097
108 -15.283435 0.095326
9353 -13.557198 -2.378542
61529 -14.922501 0.183983
16247 -17.526800 1.591307
20941 -15.040394 0.528439
35078 -15.263633 0.266717
47981 -19.614252 -1.799794
110 -0.422888 0.704520
19704 -0.328800 0.674669
113 -11.892153 5.188004
59544 -12.517128 4.970794
759 -12.536153 4.933819
12172 -11.479722 4.845347
21636 -8.553214 7.419989
30699 -12.566350 4.625894
114 -12.477651 5.424059
4871 -19.953117 -2.092443
9198 -15.781183 0.081040
23205 -12.752311 6.640596
26522 -4.840090 -0.746795
32273 -12.608320 4.580069
34651 -15.352365 -0.713995
115 24.052809 -0.821136
52135 23.748390 -0.559810
3002 23.654310 -0.509451
22064 23.761984 -0.378205
22318 23.622768 -0.835547
33153 23.709799 -0.478939
37344 23.740810 -0.542618
29361 23.746866 -0.479247
31040 23.529879 -0.648029
31672 23.945606 -0.685181
32486 11.762442 -1.558879
33430 23.908445 -0.652009
47225 23.874666 -0.619563
116 -12.754596 -8.557458
51328 -10.921325 -10.584340
51965 -12.211018 -8.385038
39532 -9.499212 -15.170110
56746 -10.470948 -10.499914
51239 -12.767350 -8.388111
46946 -10.175243 -9.936768
62062 -12.761859 -8.510997
10249 -8.885819 -15.522031
14327 -8.805604 -15.261452
11845 -12.977757 -8.603352
15399 -13.307428 -9.537102
21635 -13.590910 1.308646
37685 -13.235820 -9.509701
36700 -13.185867 -9.549486
37503 -12.737163 -8.293845
117 -4.813396 -8.774442
44671 -7.465804 -10.834038
56796 0.760418 -1.063365
62167 -4.411647 -8.734011
2097 -11.611302 -5.564306
9420 -4.643772 -11.343544
9598 -2.906755 -2.683484
13535 -4.741302 -8.853453
13939 -5.322875 -8.965396
39761 -5.224579 -9.570137
46760 -5.291845 -8.144418
118 0.475174 -2.236490
61639 0.355478 -2.050385
17487 2.274446 -3.166590
24554 15.157794 1.314919
24711 14.457760 1.506752
26633 13.808977 1.780353
36664 -13.796312 0.322747
28263 -0.073444 -1.186248
48362 -15.550962 2.217464
38317 12.868024 1.303877
119 4.227060 -0.294549
52510 2.703377 -3.950450
47186 4.111832 -0.290415
13514 4.647483 -0.460056
17506 2.823382 -3.838740
19514 4.358613 -0.403784
35616 4.154225 -0.200870
28476 8.469854 -3.785636
37432 4.124543 -0.280410
37784 14.163629 1.637146
121 -5.257233 7.573474
61742 -5.321808 7.845119
23227 -1.361585 -6.623089
122 -15.431314 4.487493
60957 -15.299684 4.434420
123 9.321988 1.252431
60664 9.731589 1.435213
57875 9.403615 1.061763
2859 9.511381 1.458808
11563 9.120687 1.087428
13345 8.412839 1.381005
14195 9.972059 1.064066
17261 9.275605 1.142007
33184 23.540052 5.193322
124 -0.540799 -7.970284
2638 -0.556534 -7.931791
125 -8.709023 -2.359382
26959 -8.491905 -2.942120
126 -1.677710 5.515090
12775 17.847713 9.822579
19289 -1.171224 5.524195
127 -14.401167 -0.188418
60196 -14.394708 -0.168453
9828 -14.026775 -0.203280
128 -5.397285 -1.032720
38714 -4.777432 -1.021902
53281 -5.082768 -0.967857
55442 -15.575367 -0.751270
2956 -15.336641 -1.511758
18795 -15.766755 1.999189
28210 -15.905412 -0.860164
46066 -4.317603 -1.162547
130 -15.815390 -2.056195
51957 -14.691895 0.678255
30322 -15.212238 -1.876812
131 -4.918572 -10.555076
15836 -8.969302 -7.249591
51429 -4.404028 -10.272143
16326 -5.081455 -10.802836
132 -14.745437 -5.037677
58783 -14.766546 -5.069218
19265 -13.679721 -5.794023
28587 -15.114961 4.723789
33993 -13.741362 -9.307925
26028 -16.065561 1.689214
36839 -14.801678 -5.226112
133 12.272691 10.288958
53672 12.362509 10.538712
3716 12.711280 10.221619
18800 2.185921 -3.212570
22011 12.155835 10.138603
26653 2.450143 -3.304459
32469 2.786388 -3.071151
138 -6.136995 -8.526278
38472 -6.140896 -7.947639
139 -2.766927 9.408952
1686 -2.804188 9.514806
60820 -2.235963 8.933125
14332 -2.229563 9.445644
7988 -4.269153 8.287281
141 -16.055250 1.853950
36840 -16.043350 1.795479
51021 -15.731288 1.472555
8012 -15.601210 2.116335
5351 -15.830990 2.205044
25495 -15.744586 2.128058
8127 -16.103861 1.911677
142 1.573169 5.089698
61437 1.650575 4.782308
10323 1.606915 5.164608
17140 1.283179 5.001309
143 -1.353517 2.013152
53535 1.271078 5.296569
57250 -1.509906 1.573864
47067 -1.410062 1.670647
5406 19.826593 -0.682968
10012 -1.386950 1.642613
14801 -0.973691 2.228901
28848 6.957238 2.269694
28864 -0.971671 2.288575
145 4.450605 3.089978
31392 4.186113 2.546895
36848 9.559466 1.036589
146 3.948716 2.828662
55633 3.574756 3.059595
14423 23.220724 1.500123
17707 12.117988 9.387404
147 20.120260 -3.373198
49889 13.600840 3.562654
37020 17.537098 3.530442
50849 21.088917 1.785318
53461 20.454063 -2.327743
14734 20.577559 -2.035786
7084 18.801235 -4.899352
24964 20.298834 -3.605352
148 4.784701 2.627106
59059 4.889905 2.572300
28002 4.695520 2.577504
61284 4.798367 2.589756
13031 1.246260 0.022415
25777 -6.842107 -4.598194
30936 4.889143 2.538145
33855 -6.976864 -4.632081
35316 4.839335 2.535691
150 -8.363744 -11.742043
57930 -6.894730 -6.134098
2288 -8.560730 -12.044641
29630 -6.837987 -6.473074
44017 -8.414067 -11.946995
34350 -8.756507 -11.682366
47052 -8.123753 -11.832210
151 -1.130201 -0.965782
60707 0.955446 0.458468
8399 -1.625462 -2.027605
23719 -1.285821 -1.766236
26642 -0.657728 -0.928783
152 -14.088688 -0.300392
713 1.582555 3.258272
11137 -13.890358 -0.135982
26377 -15.329475 -0.227992
153 16.554180 -6.048433
51236 16.555304 -5.652268
13329 16.585039 -6.086826
13370 16.455896 -5.945685
57132 3.195290 -1.345207
58708 15.622498 -4.134124
58871 16.231455 -5.635000
47368 15.311531 1.597476
45853 10.400574 -2.967864
6937 16.577299 -6.118362
8808 15.014016 -5.456367
11016 16.424585 -4.917068
15312 16.648859 -5.998345
30527 16.644154 -5.981714
16261 15.394576 -4.452075
16495 16.470539 -5.707499
22111 13.287970 -1.031459
25494 16.090054 -5.646535
35629 15.059043 -5.370949
28126 12.726232 -4.819410
25012 15.400301 0.051028
32368 16.456587 -4.330304
26382 10.340857 -3.024235
34216 16.460423 -6.047615
47036 16.483318 -5.861184
36210 16.768929 -5.845242
36518 0.670718 -0.740372
154 11.970002 2.595549
53579 11.724947 2.881941
61634 17.112206 2.375784
31971 11.674039 2.764318
32099 11.631308 2.665015
10020 11.985429 2.837688
13138 11.545105 -0.235794
20117 11.637331 2.810229
18290 14.570526 3.344216
21569 11.615375 2.600687
18447 11.733650 2.743444
23124 11.576944 2.580165
27544 16.246946 1.045568
37362 11.554512 2.710103
38156 11.632892 2.790920
46259 17.031181 2.524644
36891 12.468875 3.293986
156 13.214363 3.309518
24163 13.215466 3.117602
28934 13.145185 3.680762
157 -8.046946 10.016133
15388 -7.897944 9.974726
8442 -8.041707 9.846936
159 -2.421857 9.067143
6622 -0.208242 8.267093
162 1.185880 3.109833
18253 1.245241 3.080650
28561 1.174478 2.958455
163 -7.860596 -11.231885
27919 -6.207331 -11.024404
37793 -7.952955 -11.195903
164 -6.654095 11.842874
20602 -4.488431 8.514730
165 23.085321 10.344763
51070 22.153580 9.729780
53363 22.426197 11.792085
40850 23.389578 10.456321
60447 21.494337 9.495515
60832 23.469023 10.373207
302 22.197474 9.877233
2535 22.255909 9.839050
21757 22.179157 9.903409
46505 21.630722 9.796476
30153 22.302784 9.745668
169 -12.897097 8.316716
6554 -13.121546 8.321634
27140 -8.901910 8.767270
171 -5.952953 6.834764
5287 -4.177819 -1.070189
173 21.438448 7.649571
50797 21.744892 6.891541
54306 19.210333 11.872709
61897 15.937691 1.175312
12424 23.271845 5.073679
30440 20.341562 6.661138
15954 21.524347 8.605500
15065 19.432528 4.001113
20540 22.102072 8.173238
18242 3.226328 5.481592
30862 14.551586 -1.373637
174 -11.968869 9.794765
1300 -12.016929 9.744858
175 13.492714 3.488650
13817 24.938421 10.131330
32059 24.191538 10.533163
10744 13.776126 3.753397
21221 15.217806 4.881737
28917 13.960115 4.069884
180 -1.425280 -2.182810
57690 -1.491905 -2.696724
19396 -1.339864 -2.344366
22172 1.118973 4.657196
33095 -1.468556 -1.249951
182 -6.642592 10.712003
30711 -7.831054 9.824610
183 -4.053745 -4.360790
52230 2.266391 -2.814411
34314 -3.998799 -6.701090
18577 3.200814 -1.268203
22524 -13.875036 1.313704
34996 -4.207704 -3.804087
184 -16.098715 -7.664229
54444 -15.526450 -7.886579
26914 -16.141054 -7.312714
185 -13.231909 -1.356726
50461 -12.908572 -1.600170
52470 -13.408221 0.558617
