108354 2
150002 8.906668 -14.000172
161658 -2.209652 -1.948499
13710 -4.233907 -3.400249
55764 -1.459055 -2.012480
41484 -3.752404 -2.241016
76635 -2.072498 -2.241882
8729 -0.178609 -2.106423
137925 -3.818193 1.201266
72808 -2.125003 -1.876920
127083 -3.850014 1.674890
161656 4.733603 -8.483521
68640 4.726146 -8.462139
161655 -12.583239 16.023342
12263 15.164998 -9.557508
2168 -12.541257 15.885172
154084 -12.494529 15.744504
161654 -4.762587 7.063884
90237 -4.517984 6.362472
115313 -5.084033 7.511035
56782 -4.722763 7.124808
161652 -16.367455 -21.948587
142948 16.601135 11.153946
121280 -16.372301 -21.951376
161651 19.587032 2.768285
67611 19.714905 2.113787
132701 18.425556 5.855347
72244 19.672655 2.693358
6447 19.946682 2.770543
24396 17.465263 5.894948
161648 -8.505697 6.591258
62990 -8.553436 6.762559
161647 -13.401543 -35.033859
29149 -13.404203 -35.024067
161644 -2.166384 -3.446928
12849 -2.012573 -2.991990
111622 0.435336 -2.139309
131730 -3.332184 -3.001220
113502 -2.683640 -3.721406
161642 -12.730715 7.945847
11099 -12.701221 7.885818
154980 -12.743367 7.956226
41737 -12.731318 7.866757
14113 -12.720271 7.940600
14110 -12.503647 7.998514
161641 -14.958189 -14.785914
51651 -14.958120 -14.745042
161640 -3.468147 8.150622
158984 -3.456809 7.671532
3036 -3.242607 7.079997
136401 -4.421895 8.082304
32204 -2.964079 10.758827
30069 -1.870080 10.573093
161639 -1.154157 27.338343
124735 -1.159217 27.345369
41770 -1.699092 -8.727136
161637 -17.568357 -2.269219
89206 -17.686245 -2.560168
147310 -17.760960 -2.063788
109222 -17.296080 -2.524651
8083 -17.261311 -2.464448
139699 -17.823025 -2.134331
132759 -17.336926 -2.408410
161635 2.513437 15.810518
93212 2.667126 15.718006
161634 12.633617 -2.588891
75120 12.788356 -2.605685
37202 13.468943 -4.539101
40038 15.320518 -0.833198
139696 13.168929 0.008423
66149 12.353604 -2.681005
161633 -15.399395 -14.142480
75240 -15.372698 -14.125939
161632 -1.761127 -1.756923
83765 -1.737486 -1.719879
52291 16.513578 4.453271
47133 -1.812570 -1.398225
16309 -2.073659 -1.992396
161631 9.114347 16.904161
73057 -9.024343 0.149237
161627 -25.359024 13.528934
149449 -25.611605 13.287138
93110 -25.413631 13.422416
153286 -25.230070 13.747206
161625 12.713913 -12.593840
94518 12.696537 -12.586312
161624 13.273463 34.535572
83408 13.273439 34.535191
129121 13.272558 34.534077
161622 0.388860 -9.462557
119253 2.268350 8.529104
107718 1.725092 7.456950
56071 0.572409 -9.326562
161621 5.216897 6.669633
117442 5.277313 6.719702
95500 5.254223 6.636337
83744 5.022434 6.722306
161620 3.833076 -2.230759
25410 4.002265 -2.109233
146349 -5.366716 -12.075842
12767 -3.791129 -12.820725
161619 -9.580556 -2.687826
67404 -9.469555 -2.659825
161617 16.886810 -0.111186
13335 17.002853 -0.321360
88364 16.910515 0.299011
13334 16.957657 -0.338989
5163 16.202433 7.428658
119445 8.669180 -1.347213
161616 -1.342148 1.365094
1498 -1.447830 1.405913
76476 3.757376 10.698152
29921 -1.293964 1.094774
161614 10.355754 17.059082
147035 10.357526 17.063099
97733 10.332371 17.043150
161613 -1.716370 2.591188
59423 -1.703413 2.436452
161612 -2.250526 15.785861
100670 -2.450649 18.505333
133283 -2.519653 15.330607
95536 -2.146794 14.790343
161608 0.102719 -1.699001
22284 0.130861 -1.697716
121525 -0.594519 -2.079285
141208 0.770361 -1.774359
161607 -8.150383 -12.584935
128128 13.184061 14.458839
149495 -11.016267 -15.235126
153435 -11.545195 -15.324791
149621 -9.645674 -12.861554
161606 12.096414 -4.034816
52217 12.246187 -4.129411
94061 11.895756 -4.408123
109215 12.163826 -3.642200
22798 11.719007 -3.814234
161604 -10.757957 2.183056
155604 -10.773952 2.402599
103213 -14.766181 5.862521
37617 -10.433828 2.206661
161602 2.794172 8.333333
105973 2.277578 8.532688
161599 -17.689445 18.474916
131094 -11.086296 -9.217461
161598 -4.603675 -11.731196
108605 -4.798325 -11.762317
45156 -3.303836 -11.760776
68868 -5.077172 -11.772687
103483 -7.312393 -20.460815
36243 -5.271683 -11.377522
18977 -2.876655 -11.724051
25333 -4.202344 -12.080506
161594 -39.867268 -0.502323
128101 -39.866852 -0.502121
161593 -6.811598 -11.448735
45525 -26.811882 13.165359
104153 -9.730021 -14.147682
20169 -6.362687 -13.379499
14016 -6.141274 -13.336095
55283 -6.953780 -11.154458
130160 -3.551580 -11.763920
93551 -7.360789 -10.713840
161592 9.039824 -6.719443
90014 8.898435 -6.330923
161589 -4.612964 5.235085
116639 -4.569022 5.213689
21750 -4.875617 5.446789
161588 7.028256 -2.103713
126397 6.876200 -2.173905
102541 8.002772 -9.463514
107720 3.899348 -10.875321
80188 2.554125 -7.521968
150477 7.183751 -1.382100
154294 7.161473 -1.830293
161413 -0.678832 -8.912328
127166 7.132590 -1.899877
126039 8.641667 -1.498294
148126 3.586581 -10.963150
51839 7.138403 -1.961579
159538 7.197831 -1.669055
101602 1.126416 -1.390252
50136 7.920328 -7.466518
161587 -10.522581 -12.922038
132679 -10.524451 -13.041746
14890 -10.395533 -13.058737
102859 -10.419045 -12.834291
161586 -4.877898 -0.583356
41991 -4.757452 -0.467139
109736 -5.586030 -0.118517
41589 -4.926943 -1.593831
161585 -8.196335 -9.808160
60445 2.450728 -7.804808
92333 -8.546579 -9.808743
72759 -8.356216 -9.828424
28873 6.750407 -0.062139
100183 -8.474163 -10.088523
125962 -7.462287 -8.762113
161584 -13.040599 2.808488
55369 -13.126613 2.743238
161583 2.156741 -8.539584
142890 2.632434 -8.725688
32376 0.636861 -7.748088
42775 2.005480 -8.774416
4819 3.285589 -9.049937
135819 1.996302 -7.409810
161582 11.998451 -27.787930
588 11.989748 -27.766134
161581 1.061169 19.315056
142132 -13.078782 15.953088
121828 1.461945 19.031370
128758 1.336662 18.717745
35440 -5.256089 19.469309
123501 -3.154361 22.323341
19163 1.406763 18.918085
30122 -4.524784 19.489622
67387 0.672297 19.420977
37398 2.151930 17.663956
161579 -5.161652 -8.867866
61096 -5.205334 -8.873961
161578 -10.857869 2.068986
134030 -10.969130 1.921736
117722 -10.703454 2.042525
124284 6.479360 0.763542
90978 -10.652090 2.023539
104970 7.223586 -0.177042
109181 -10.745038 2.299366
144518 -10.612250 2.211553
125192 -10.849718 2.122444
13564 7.238081 -0.618468
93535 -10.767441 2.234033
103062 11.767639 -1.314809
161577 -7.520514 19.603670
158380 -6.880699 20.572742
1656 -7.879235 19.353069
1349 -7.371293 19.449223
161572 -9.738866 -5.792553
15132 -9.865073 -5.887330
74481 -9.506463 -5.998294
149360 -6.069327 9.056812
97986 -9.812343 -5.548555
161568 25.011269 4.020082
11711 25.010618 4.099617
51711 24.928638 3.908252
106622 24.871967 4.114667
154168 24.891752 4.039114
140049 24.439472 2.487519
161567 2.281113 8.571067
32721 2.204035 8.547823
106456 1.830068 9.049043
143298 2.455868 8.475616
87422 2.192612 8.558712
105755 6.971330 11.777938
27172 2.124765 8.833056
95420 2.276994 8.391540
161566 3.848599 -18.136284
106278 3.877743 -18.018866
161564 16.517763 -1.253831
153926 13.738194 -0.269034
75559 16.924530 -1.331800
89954 20.032253 1.531939
152186 16.933775 -1.137036
100017 15.660852 -0.091357
75728 18.345358 -0.096854
63022 16.410175 -1.447399
123114 16.542820 -1.002098
1011 16.451508 -1.440675
127486 16.131798 -1.225444
87014 10.794060 -2.209417
95207 16.112568 -0.831655
94035 15.944949 -1.292023
158715 -4.950712 -12.810821
115890 16.143585 -0.804265
41510 16.244795 -0.842955
14495 16.347393 -1.316346
58274 16.547628 -0.823210
97984 20.323324 4.545227
161563 -0.612014 1.210916
48679 -0.831538 0.992480
129726 -0.475193 1.345912
32892 -0.856465 1.081342
161561 -9.274985 2.882888
130765 -9.303207 2.933020
161560 -1.740291 -10.379020
54990 -1.737377 -10.326636
74981 -1.725715 -10.217407
151744 -1.626900 -10.570771
81320 -3.966758 -10.890752
75885 -1.587526 -10.453992
109504 -4.281573 -12.642197
161558 2.271970 -1.403838
121842 0.363766 -1.546244
62707 2.351709 -1.397248
100827 2.382398 -1.459060
161556 0.746612 9.783479
75972 0.562462 10.039090
40472 -3.302281 6.787936
53472 6.043510 9.837032
50019 5.338323 9.598246
70139 1.338687 9.006117
133190 -2.472144 9.443001
110660 0.887661 9.712063
161553 -2.349768 -8.362212
52879 -2.767695 -8.442389
126047 -1.923894 -8.300235
161551 10.564368 -11.928280
127932 10.089515 -11.882521
161549 3.533120 -8.343926
42278 3.471220 -8.210531
112647 3.569060 -8.272820
102867 3.259067 -7.964905
108809 3.478885 -8.545976
2577 0.356073 5.301803
64925 3.269726 -8.721486
135854 4.204861 -11.555850
158841 -0.429243 5.990567
8999 3.373465 -8.284071
161170 3.354289 -8.262277
161548 13.953403 -0.976817
120427 13.619462 -0.771503
149215 13.434940 -0.278164
138087 13.428552 -0.318008
141136 14.500893 -0.906791
28605 14.826008 -0.837874
48983 17.059622 -0.313327
1928 15.087568 -2.692558
11032 16.594618 0.233720
1512 9.673442 -0.492306
102844 16.075470 -1.248976
73969 13.597738 -1.340283
60897 10.310529 -4.018706
161546 -7.985572 -7.774594
75642 -8.128107 -7.785954
2502 -8.002439 -8.233977
138595 -3.803684 -13.855192
140501 -7.443376 -7.579001
55448 -9.927320 -5.976789
24062 -11.573429 5.158357
2259 -8.473266 -7.789125
161544 -14.156202 2.088157
65916 -24.781565 9.915241
25975 -14.225867 1.951167
