Katja Hofmann,5.337047108108109,3.7545786486486485
Boon-Siew Seah,-6.2048266666666665,-2.5100046666666667
Qiaozhu Mei,4.787765407407408,0.7729967777777781
James Allan,6.199683220779219,4.6439545974025975
Jiebo Luo,0.049718624999999954,-1.2014226562500003
Yong Li,1.4661244,-3.4739626
Prasenjit Mitra,1.034562666666667,1.3178577333333334
Wayne Xin Zhao,3.743165916666667,0.7024646666666666
Douglas W. Oard,7.92931076811594,4.892674855072461
Claudio Lucchese,0.2965715500000001,0.42999750000000037
Azadeh Shakery,8.086736259259261,4.898578296296296
Xiaozhong Liu,3.132344461538461,6.682669346153846
Laure Soulier,7.514757142857143,4.386118785714285
Edgar Meij,7.453878607843138,4.177612039215686
Xin Zhao,-3.1803236,-0.2834328
Bhaskar Mitra,6.932327999999999,3.00859475
Ujwal Gadiraju,-6.909801750000001,-1.38014225
Paul Clough,7.827820950000001,5.451334050000001
Heri Ramampiaro,6.946191333333334,2.8461693333333336
Vanessa Murdock,5.230041444444444,3.9067257500000006
Alistair Moffat,2.5699517457627117,3.442777288135594
Tamer Elsayed,6.1827552500000005,3.6598432083333337
Dan Wu,1.8935455000000003,2.865807357142857
Robert West,4.217533545454545,2.028222
Eugene Agichtein,5.735691674157305,3.1995464606741573
Qi Zhang,4.187015352941176,-1.208800274509804
Paul Bennett,1.7792928333333335,-0.2571324999999996
Zhumin Chen,0.004290888888888795,0.27348322222222204
Tat-Seng Chua,3.448318570422535,0.5461709929577463
Jamie Callan,6.106274000000001,4.884650594594593
Omar Alonso,3.524740296296297,2.455891981481482
Dawei Song,5.844601817073172,4.417861609756097
Franco Maria Nardini,5.320874625,3.4286149375
Ferhan Ture,10.4294178,1.0385084
Liangcai Gao,-2.8759025454545455,6.963158090909091
Andrew Yates,5.985445888888888,2.4024958888888888
Damiano Spina,7.3794475,4.780575666666667
Jimmy Huang,6.0893733333333335,5.304136222222223
Yi Zhang,4.822516553191489,0.06661538297872324
Evangelos Kanoulas,4.527312909090909,3.4056130681818186
Zhifeng Bao,-11.743518676470593,-3.635720323529412
Min Zhang,9.162171949275365,0.22245700724637654
Bin Shen,2.9176965000000004,2.0012594999999997
Fuli Feng,0,0
Xiang Wang,1.8160938235294117,-3.275316588235294
Myungha Jang,5.705438,5.340646
Hongning Wang,3.4498283913043477,2.021663347826087
Nick Craswell,5.433993905882354,4.898157305882352
Ben Carterette,5.9524632923076926,5.185186892307692
Nazli Goharian,5.992126392857142,2.8268917499999993
Minlie Huang,8.557996272727273,-0.6105760454545455
Praveen Chandar,6.040356999999999,5.3808879
Tao Mei,-0.21505077777777762,1.0156691481481481
Luca Soldaini,10.642847750000001,2.5398940000000003
Wei Wang,-3.6763108401826514,-3.4380292009132427
Benno Stein,7.868304285714287,2.9674822207792206
Debasis Ganguly,8.553834913043477,3.86358247826087
Cornelia Caragea,6.391689,-1.6739371333333335
Adam Jatowt,2.159402780487804,3.6880857073170743
Xing Xie,0.07495843661971836,2.093043492957746
Jung-Tae Lee,7.006493999999999,2.464384333333333
Ali Montazeralghaem,5.831447,4.556106
Raffaele Perego,1.999631622222222,2.4305546444444444
Jahna Otterbacher,5.5598822,5.848870100000001
Zhe Zhao,1.3939135555555555,1.493776
Tie-Yan Liu,4.197367041095891,1.8728494657534256
Adam Roegiest,4.795821538461538,3.8006628461538465
Tingting He,6.632932874999999,1.6706848124999998
J. Shane Culpepper,2.72616225,3.126457458333333
Ruifeng Xu,8.913316666666665,-2.0068821666666667
Matthias Hagen,7.201326516129031,3.4788164838709688
Jimmy Lin,5.276947172839508,3.3531456543209877
Gerhard Weikum,-3.2378712412451343,0.578874482490272
Susan Dumais,3.011492551020409,5.613150673469387
Weiqing Wang,-8.67855,-0.70175
Josiane Mothe,7.785679914285713,6.131207342857143
Iadh Ounis,5.869116083333332,4.878375666666666
Deng Cai,1.6314756896551723,-1.3953397413793103
Krishna P. Gummadi,1.9460310952380953,2.366406428571428
Eren Manavoglu,2.8375374444444446,2.3226479999999996
Richang Hong,-0.6928711875,-0.8940459375
Jun Wang,3.037496291262136,0.37640959223301007
Vasudeva Varma,7.527533000000001,3.5400997837837833
Liang Wu,5.702072666666666,0.8693210000000001
Jiaxin Mao,5.432572,5.639541
Anna Shtok,6.195435235294117,5.7064182352941195
Wei Zhang,0.3857680967741933,-0.6900443548387094
Philipp Kemkes,5.30857,5.551682
Shaoping Ma,5.05279772,3.4750668933333326
Arman Cohan,9.857473666666667,1.0768870000000001
Ilya Markov,5.854827176470589,4.948790764705882
Xuanjing Huang,8.257420607142858,0.23322085714285717
Xueqi Cheng,6.109786247524752,1.1836844950495051
Hamed Zamani,8.817166285714285,-0.4033437142857142
Hongzhi Yin,-2.932014555555556,-0.509524888888889
Min Yang,4.458822625,4.342543374999999
Zhuoren Jiang,4.9799366,6.90207
Ahmed Hassan Awadallah,5.513723928571428,4.237449928571428
Martin Potthast,8.988715170731707,4.0286128536585375
Huan Liu,2.512628418604651,-2.197527379844962
Zi Huang,-1.8869275250000004,-0.8997744499999998
Min-Chul Yang,7.050845499999999,-1.1547375000000002
Qingyao Ai,6.180318000000001,4.927547666666666
Adam Fourney,1.2357413999999998,9.3434374
Soumen Chakrabarti,0.9705087846153843,-1.1691922615384616
Adrian-Gabriel Chifu,0.11285250000000069,-1.603027
Jiashu Zhao,5.795237444444444,4.471216666666667
Chenyan Xiong,7.4276521666666655,0.06318616666666681
Xiaojun Wan,8.429917676923079,0.9319966307692308
Yi Fang,5.750118041666667,0.5449343749999997
